Team_1,Team_2,Winner,Margin,Ground,Match Date,Match_id
New Zealand,West Indies,New Zealand,159 runs,Queenstown,"Jan 1, 2014",ODI # 3451
New Zealand,West Indies,New Zealand,58 runs,Nelson,"Jan 4, 2014",ODI # 3452
New Zealand,West Indies,West Indies,203 runs,Hamilton,"Jan 8, 2014",ODI # 3453
Australia,England,Australia,6 wickets,Melbourne,"Jan 12, 2014",ODI # 3454
Australia,England,Australia,1 wicket,Brisbane,"Jan 17, 2014",ODI # 3455
New Zealand,India,New Zealand,24 runs,Napier,"Jan 19, 2014",ODI # 3456
Australia,England,Australia,7 wickets,Sydney,"Jan 19, 2014",ODI # 3457
New Zealand,India,New Zealand,15 runs,Hamilton,"Jan 22, 2014",ODI # 3458
Canada,Scotland,Scotland,170 runs,Christchurch,"Jan 23, 2014",ODI # 3459
Kenya,Netherlands,Kenya,4 wickets,Lincoln,"Jan 23, 2014",ODI # 3460
Australia,England,England,57 runs,Perth,"Jan 24, 2014",ODI # 3461
New Zealand,India,tied,,Auckland,"Jan 25, 2014",ODI # 3462
Australia,England,Australia,5 runs,Adelaide,"Jan 26, 2014",ODI # 3463
Canada,Netherlands,Netherlands,8 wickets,Mount Maunganui,"Jan 28, 2014",ODI # 3464
New Zealand,India,New Zealand,7 wickets,Hamilton,"Jan 28, 2014",ODI # 3465
Kenya,Scotland,Scotland,3 wickets,Christchurch,"Jan 30, 2014",ODI # 3466
New Zealand,India,New Zealand,87 runs,Wellington,"Jan 31, 2014",ODI # 3467
Scotland,U.A.E.,Scotland,41 runs,Lincoln,"Feb 1, 2014",ODI # 3468
Bangladesh,Sri Lanka,Sri Lanka,13 runs,Mirpur,"Feb 17, 2014",ODI # 3469
Bangladesh,Sri Lanka,Sri Lanka,61 runs,Mirpur,"Feb 20, 2014",ODI # 3470
Bangladesh,Sri Lanka,Sri Lanka,6 wickets,Mirpur,"Feb 22, 2014",ODI # 3471
West Indies,Ireland,West Indies,4 wickets,Kingston,"Feb 23, 2014",ODI # 3472
Pakistan,Sri Lanka,Sri Lanka,12 runs,Fatullah,"Feb 25, 2014",ODI # 3473
Bangladesh,India,India,6 wickets,Fatullah,"Feb 26, 2014",ODI # 3474
Afghanistan,Pakistan,Pakistan,72 runs,Fatullah,"Feb 27, 2014",ODI # 3475
India,Sri Lanka,Sri Lanka,2 wickets,Fatullah,"Feb 28, 2014",ODI # 3476
West Indies,England,West Indies,15 runs,North Sound,"Feb 28, 2014",ODI # 3477
Bangladesh,Afghanistan,Afghanistan,32 runs,Fatullah,"Mar 1, 2014",ODI # 3478
India,Pakistan,Pakistan,1 wicket,Mirpur,"Mar 2, 2014",ODI # 3479
West Indies,England,England,3 wickets,North Sound,"Mar 2, 2014",ODI # 3480
Afghanistan,Sri Lanka,Sri Lanka,129 runs,Mirpur,"Mar 3, 2014",ODI # 3481
Bangladesh,Pakistan,Pakistan,3 wickets,Mirpur,"Mar 4, 2014",ODI # 3482
Afghanistan,India,India,8 wickets,Mirpur,"Mar 5, 2014",ODI # 3483
West Indies,England,England,25 runs,North Sound,"Mar 5, 2014",ODI # 3484
Bangladesh,Sri Lanka,Sri Lanka,3 wickets,Mirpur,"Mar 6, 2014",ODI # 3485
Pakistan,Sri Lanka,Sri Lanka,5 wickets,Mirpur,"Mar 8, 2014",ODI # 3486
Afghanistan,Hong Kong,Afghanistan,6 wickets,Kuala Lumpur,"May 1, 2014",ODI # 3487
Afghanistan,U.A.E.,Afghanistan,70 runs,Kuala Lumpur,"May 2, 2014",ODI # 3488
Hong Kong,U.A.E.,U.A.E.,2 wickets,Kuala Lumpur,"May 4, 2014",ODI # 3489
Ireland,Sri Lanka,Sri Lanka,79 runs,Dublin,"May 6, 2014",ODI # 3490
Scotland,England,England,39 runs,Aberdeen,"May 9, 2014",ODI # 3491
England,Sri Lanka,England,81 runs,The Oval,"May 22, 2014",ODI # 3492
England,Sri Lanka,Sri Lanka,157 runs,Chester-le-Street,"May 25, 2014",ODI # 3493
England,Sri Lanka,England,10 wickets,Manchester,"May 28, 2014",ODI # 3494
England,Sri Lanka,Sri Lanka,7 runs,Lord's,"May 31, 2014",ODI # 3495
England,Sri Lanka,Sri Lanka,6 wickets,Birmingham,"Jun 3, 2014",ODI # 3496
Bangladesh,India,India,7 wickets,Mirpur,"Jun 15, 2014",ODI # 3497
Bangladesh,India,India,47 runs,Mirpur,"Jun 17, 2014",ODI # 3498
Bangladesh,India,no result,,Mirpur,"Jun 19, 2014",ODI # 3499
Sri Lanka,South Africa,South Africa,75 runs,Colombo (RPS),"Jul 6, 2014",ODI # 3500
Sri Lanka,South Africa,Sri Lanka,87 runs,Pallekele,"Jul 9, 2014",ODI # 3501
Sri Lanka,South Africa,South Africa,82 runs,Hambantota,"Jul 12, 2014",ODI # 3502
Zimbabwe,Afghanistan,Zimbabwe,6 wickets,Bulawayo,"Jul 18, 2014",ODI # 3503
Zimbabwe,Afghanistan,Zimbabwe,8 wickets,Bulawayo,"Jul 20, 2014",ODI # 3504
Zimbabwe,Afghanistan,Afghanistan,2 wickets,Bulawayo,"Jul 22, 2014",ODI # 3505
Zimbabwe,Afghanistan,Afghanistan,100 runs,Bulawayo,"Jul 24, 2014",ODI # 3506
Zimbabwe,South Africa,South Africa,93 runs,Bulawayo,"Aug 17, 2014",ODI # 3507
Zimbabwe,South Africa,South Africa,61 runs,Bulawayo,"Aug 19, 2014",ODI # 3508
West Indies,Bangladesh,West Indies,3 wickets,St George's,"Aug 20, 2014",ODI # 3509
Zimbabwe,South Africa,South Africa,7 wickets,Bulawayo,"Aug 21, 2014",ODI # 3510
West Indies,Bangladesh,West Indies,177 runs,St George's,"Aug 22, 2014",ODI # 3511
Sri Lanka,Pakistan,Pakistan,4 wickets,Hambantota,"Aug 23, 2014",ODI # 3512
Zimbabwe,Australia,Australia,198 runs,Harare,"Aug 25, 2014",ODI # 3513
West Indies,Bangladesh,West Indies,91 runs,Basseterre,"Aug 25, 2014",ODI # 3514
Sri Lanka,Pakistan,Sri Lanka,77 runs,Hambantota,"Aug 26, 2014",ODI # 3515
Australia,South Africa,South Africa,7 wickets,Harare,"Aug 27, 2014",ODI # 3516
England,India,India,133 runs,Cardiff,"Aug 27, 2014",ODI # 3517
Zimbabwe,South Africa,South Africa,61 runs,Harare,"Aug 29, 2014",ODI # 3518
Sri Lanka,Pakistan,Sri Lanka,7 wickets,Dambulla,"Aug 30, 2014",ODI # 3519
England,India,India,6 wickets,Nottingham,"Aug 30, 2014",ODI # 3520
Zimbabwe,Australia,Zimbabwe,3 wickets,Harare,"Aug 31, 2014",ODI # 3521
Australia,South Africa,Australia,62 runs,Harare,"Sep 2, 2014",ODI # 3522
England,India,India,9 wickets,Birmingham,"Sep 2, 2014",ODI # 3523
Zimbabwe,South Africa,South Africa,63 runs,Harare,"Sep 4, 2014",ODI # 3524
England,India,England,41 runs,Leeds,"Sep 5, 2014",ODI # 3525
Australia,South Africa,South Africa,6 wickets,Harare,"Sep 6, 2014",ODI # 3526
Ireland,Scotland,Ireland,7 wickets,Dublin (Malahide),"Sep 8, 2014",ODI # 3527
Ireland,Scotland,Ireland,3 wickets,Dublin (Malahide),"Sep 10, 2014",ODI # 3528
Ireland,Scotland,Scotland,8 wickets,Dublin (Malahide),"Sep 12, 2014",ODI # 3529
Australia,Pakistan,Australia,93 runs,Sharjah,"Oct 7, 2014",ODI # 3530
India,West Indies,West Indies,124 runs,Kochi,"Oct 8, 2014",ODI # 3531
Australia,Pakistan,Australia,5 wickets,Dubai (DSC),"Oct 10, 2014",ODI # 3532
India,West Indies,India,48 runs,Delhi,"Oct 11, 2014",ODI # 3533
Australia,Pakistan,Australia,1 run,Abu Dhabi,"Oct 12, 2014",ODI # 3534
India,West Indies,India,59 runs,Dharamsala,"Oct 17, 2014",ODI # 3535
New Zealand,South Africa,South Africa,6 wickets,Mount Maunganui,"Oct 21, 2014",ODI # 3536
New Zealand,South Africa,South Africa,72 runs,Mount Maunganui,"Oct 24, 2014",ODI # 3537
New Zealand,South Africa,no result,,Hamilton,"Oct 27, 2014",ODI # 3538
India,Sri Lanka,India,169 runs,Cuttack,"Nov 2, 2014",ODI # 3539
India,Sri Lanka,India,6 wickets,Ahmedabad,"Nov 6, 2014",ODI # 3540
Hong Kong,P.N.G.,P.N.G.,4 wickets,Townsville,"Nov 8, 2014",ODI # 3541
Hong Kong,P.N.G.,P.N.G.,3 wickets,Townsville,"Nov 9, 2014",ODI # 3542
India,Sri Lanka,India,6 wickets,Hyderabad,"Nov 9, 2014",ODI # 3543
India,Sri Lanka,India,153 runs,Eden Gardens,"Nov 13, 2014",ODI # 3544
Australia,South Africa,Australia,32 runs,Perth,"Nov 14, 2014",ODI # 3545
Australia,South Africa,South Africa,3 wickets,Perth,"Nov 16, 2014",ODI # 3546
India,Sri Lanka,India,3 wickets,Ranchi,"Nov 16, 2014",ODI # 3547
Australia,South Africa,Australia,73 runs,Canberra,"Nov 19, 2014",ODI # 3548
Australia,South Africa,Australia,3 wickets,Melbourne,"Nov 21, 2014",ODI # 3549
Bangladesh,Zimbabwe,Bangladesh,87 runs,Chattogram,"Nov 21, 2014",ODI # 3550
Australia,South Africa,Australia,2 wickets,Sydney,"Nov 23, 2014",ODI # 3551
Bangladesh,Zimbabwe,Bangladesh,68 runs,Chattogram,"Nov 23, 2014",ODI # 3552
Bangladesh,Zimbabwe,Bangladesh,124 runs,Mirpur,"Nov 26, 2014",ODI # 3553
Sri Lanka,England,Sri Lanka,25 runs,Colombo (RPS),"Nov 26, 2014",ODI # 3554
Bangladesh,Zimbabwe,Bangladesh,21 runs,Mirpur,"Nov 28, 2014",ODI # 3555
U.A.E.,Afghanistan,U.A.E.,5 wickets,ICCA Dubai,"Nov 28, 2014",ODI # 3556
Sri Lanka,England,Sri Lanka,8 wickets,Colombo (RPS),"Nov 29, 2014",ODI # 3557
U.A.E.,Afghanistan,U.A.E.,6 wickets,ICCA Dubai,"Nov 30, 2014",ODI # 3558
Bangladesh,Zimbabwe,Bangladesh,5 wickets,Mirpur,"Dec 1, 2014",ODI # 3559
U.A.E.,Afghanistan,Afghanistan,2 wickets,ICCA Dubai,"Dec 2, 2014",ODI # 3560
Sri Lanka,England,England,5 wickets,Hambantota,"Dec 3, 2014",ODI # 3561
U.A.E.,Afghanistan,U.A.E.,30 runs,ICCA Dubai,"Dec 4, 2014",ODI # 3562
Sri Lanka,England,Sri Lanka,6 wickets,Colombo (RPS),"Dec 7, 2014",ODI # 3563
New Zealand,Pakistan,Pakistan,3 wickets,Dubai (DSC),"Dec 8, 2014",ODI # 3564
Sri Lanka,England,England,5 wickets,Pallekele,"Dec 10-11, 2014",ODI # 3565
New Zealand,Pakistan,New Zealand,4 wickets,Sharjah,"Dec 12, 2014",ODI # 3566
Sri Lanka,England,Sri Lanka,90 runs,Pallekele,"Dec 13, 2014",ODI # 3567
New Zealand,Pakistan,Pakistan,147 runs,Sharjah,"Dec 14, 2014",ODI # 3568
Sri Lanka,England,Sri Lanka,87 runs,Colombo (RPS),"Dec 16, 2014",ODI # 3569
New Zealand,Pakistan,New Zealand,7 runs,Abu Dhabi,"Dec 17, 2014",ODI # 3570
New Zealand,Pakistan,New Zealand,68 runs,Abu Dhabi,"Dec 19, 2014",ODI # 3571
Afghanistan,Scotland,Afghanistan,8 wickets,ICCA Dubai,"Jan 8, 2015",ODI # 3572
Afghanistan,Ireland,Ireland,3 wickets,Dubai (DSC),"Jan 10, 2015",ODI # 3573
New Zealand,Sri Lanka,New Zealand,3 wickets,Christchurch,"Jan 11, 2015",ODI # 3574
Ireland,Scotland,Ireland,3 wickets,Dubai (DSC),"Jan 12, 2015",ODI # 3575
Afghanistan,Scotland,Scotland,150 runs,Abu Dhabi,"Jan 14, 2015",ODI # 3576
New Zealand,Sri Lanka,Sri Lanka,6 wickets,Hamilton,"Jan 15, 2015",ODI # 3577
Australia,England,Australia,3 wickets,Sydney,"Jan 16, 2015",ODI # 3578
South Africa,West Indies,South Africa,61 runs,Durban,"Jan 16, 2015",ODI # 3579
New Zealand,Sri Lanka,no result,,Auckland,"Jan 17, 2015",ODI # 3580
Afghanistan,Ireland,Afghanistan,71 runs,Dubai (DSC),"Jan 17, 2015",ODI # 3581
Australia,India,Australia,4 wickets,Melbourne,"Jan 18, 2015",ODI # 3582
South Africa,West Indies,South Africa,148 runs,Johannesburg,"Jan 18, 2015",ODI # 3583
Ireland,Scotland,no result,,ICCA Dubai,"Jan 19, 2015",ODI # 3584
New Zealand,Sri Lanka,New Zealand,4 wickets,Nelson,"Jan 20, 2015",ODI # 3585
England,India,England,9 wickets,Brisbane,"Jan 20, 2015",ODI # 3586
South Africa,West Indies,South Africa,9 wickets,East London,"Jan 21, 2015",ODI # 3587
New Zealand,Sri Lanka,New Zealand,108 runs,Dunedin,"Jan 23, 2015",ODI # 3588
Australia,England,Australia,3 wickets,Hobart,"Jan 23, 2015",ODI # 3589
New Zealand,Sri Lanka,New Zealand,120 runs,Dunedin,"Jan 25, 2015",ODI # 3590
South Africa,West Indies,West Indies,1 wicket,Gqeberha,"Jan 25, 2015",ODI # 3591
Australia,India,no result,,Sydney,"Jan 26, 2015",ODI # 3592
South Africa,West Indies,South Africa,131 runs,Centurion,"Jan 28, 2015",ODI # 3593
New Zealand,Sri Lanka,Sri Lanka,34 runs,Wellington,"Jan 29, 2015",ODI # 3594
England,India,England,3 wickets,Perth,"Jan 30, 2015",ODI # 3595
New Zealand,Pakistan,New Zealand,7 wickets,Wellington,"Jan 31, 2015",ODI # 3596
Australia,England,Australia,112 runs,Perth,"Feb 1, 2015",ODI # 3597
New Zealand,Pakistan,New Zealand,119 runs,Napier,"Feb 3, 2015",ODI # 3598
New Zealand,Sri Lanka,New Zealand,98 runs,Christchurch,"Feb 14, 2015",ODI # 3599
Australia,England,Australia,111 runs,Melbourne,"Feb 14, 2015",ODI # 3600
South Africa,Zimbabwe,South Africa,62 runs,Hamilton,"Feb 15, 2015",ODI # 3601
India,Pakistan,India,76 runs,Adelaide,"Feb 15, 2015",ODI # 3602
Ireland,West Indies,Ireland,4 wickets,Nelson,"Feb 16, 2015",ODI # 3603
New Zealand,Scotland,New Zealand,3 wickets,Dunedin,"Feb 17, 2015",ODI # 3604
Afghanistan,Bangladesh,Bangladesh,105 runs,Canberra,"Feb 18, 2015",ODI # 3605
U.A.E.,Zimbabwe,Zimbabwe,4 wickets,Nelson,"Feb 19, 2015",ODI # 3606
New Zealand,England,New Zealand,8 wickets,Wellington,"Feb 20, 2015",ODI # 3607
Pakistan,West Indies,West Indies,150 runs,Christchurch,"Feb 21, 2015",ODI # 3608
Afghanistan,Sri Lanka,Sri Lanka,4 wickets,Dunedin,"Feb 22, 2015",ODI # 3609
India,South Africa,India,130 runs,Melbourne,"Feb 22, 2015",ODI # 3610
England,Scotland,England,119 runs,Christchurch,"Feb 23, 2015",ODI # 3611
West Indies,Zimbabwe,West Indies,73 runs,Canberra,"Feb 24, 2015",ODI # 3612
Ireland,U.A.E.,Ireland,2 wickets,Brisbane,"Feb 25, 2015",ODI # 3613
